row_symbol,col_symbol,corr
HDFCBANK.NS,HDFCBANK.NS,1.0
HDFCBANK.NS,ICICIBANK.NS,0.4604
HDFCBANK.NS,INFY.NS,0.2309
HDFCBANK.NS,RELIANCE.NS,0.3673
HDFCBANK.NS,TCS.NS,0.1729
ICICIBANK.NS,HDFCBANK.NS,0.4604
ICICIBANK.NS,ICICIBANK.NS,1.0
ICICIBANK.NS,INFY.NS,0.2532
ICICIBANK.NS,RELIANCE.NS,0.3985
ICICIBANK.NS,TCS.NS,0.1987
INFY.NS,HDFCBANK.NS,0.2309
INFY.NS,ICICIBANK.NS,0.2532
INFY.NS,INFY.NS,1.0
INFY.NS,RELIANCE.NS,0.2733
INFY.NS,TCS.NS,0.7177
RELIANCE.NS,HDFCBANK.NS,0.3673
RELIANCE.NS,ICICIBANK.NS,0.3985
RELIANCE.NS,INFY.NS,0.2733
RELIANCE.NS,RELIANCE.NS,1.0
RELIANCE.NS,TCS.NS,0.2847
TCS.NS,HDFCBANK.NS,0.1729
TCS.NS,ICICIBANK.NS,0.1987
TCS.NS,INFY.NS,0.7177
TCS.NS,RELIANCE.NS,0.2847
TCS.NS,TCS.NS,1.0
